Field	Type	Null	Key	Default	Extra
* NPI	varchar(10)	NO	PRI	NULL	
* Entity Type	varchar(200)	YES		NULL	
Replacement NPI	varchar(10)	YES		NULL	
Employer Identification Number (EIN)	varchar(9)	YES		NULL	
* Is Sole Proprietor	varchar(200)	YES		NULL	
* Is Organization Subpart	varchar(200)	YES		NULL	
Parent Organization LBN	varchar(200)	YES		NULL	
Parent Organization TIN	varchar(200)	YES		NULL	
* Provider Organization Name (Legal Business Name)	varchar(70)	YES		NULL	
* Provider Last Name (Legal Name)	varchar(35)	YES		NULL	
* Provider First Name	varchar(20)	YES		NULL	
* Provider Middle Name	varchar(20)	YES		NULL	
* Provider Name Prefix Text	varchar(5)	YES		NULL	
* Provider Name Suffix Text	varchar(5)	YES		NULL	
* Provider Credential Text	varchar(20)	YES		NULL	
Provider Other Organization Name	varchar(70)	YES		NULL	
Provider Other Organization Name Type Code	char(1)	YES		NULL	
Provider Other Last Name	varchar(35)	YES		NULL	
Provider Other First Name	varchar(20)	YES		NULL	
Provider Other Middle Name	varchar(20)	YES		NULL	
Provider Other Name Prefix Text	varchar(5)	YES		NULL	
Provider Other Name Suffix Text	varchar(5)	YES		NULL	
Provider Other Credential Text	varchar(20)	YES		NULL	
Provider Other Last Name Type Code	char(1)	YES		NULL	
Provider First Line Business Mailing Address	varchar(55)	YES		NULL	
Provider Second Line Business Mailing Address	varchar(55)	YES		NULL	
Provider Business Mailing Address City Name	varchar(40)	YES		NULL	
Provider Business Mailing Address State Name	varchar(40)	YES		NULL	
Provider Business Mailing Address Postal Code	varchar(20)	YES		NULL	
Provider Business Mailing Address Country Code	varchar(2)	YES		NULL	
Provider Business Mailing Address Telephone Number	varchar(20)	YES		NULL	
Provider Business Mailing Address Fax Number	varchar(20)	YES		NULL	
Provider First Line Business Practice Location Address	varchar(55)	YES		NULL	
Provider Second Line Business Practice Location Address	varchar(55)	YES		NULL	
Provider Business Practice Location Address City Name	varchar(40)	YES		NULL	
Provider Business Practice Location Address State Name	varchar(40)	YES		NULL	
Provider Business Practice Location Address Postal Code	varchar(20)	YES		NULL	
Provider Business Practice Location Address Country Code	varchar(2)	YES		NULL	
Provider Business Practice Location Address Telephone Number	varchar(20)	YES		NULL	
Provider Business Practice Location Address Fax Number	varchar(20)	YES		NULL	
Provider Enumeration Date	varchar(10)	YES		NULL	
Last Update Date	varchar(10)	YES		NULL	
NPI Deactivation Reason Code	varchar(2)	YES		NULL	
NPI Deactivation Reason	varchar(200)	YES		NULL	
NPI Deactivation Date	varchar(10)	YES		NULL	
NPI Reactivation Date	varchar(10)	YES		NULL	
* Provider Gender Code	char(1)	YES		NULL	
Provider Gender	varchar(200)	YES		NULL	
Authorized Official Last Name	varchar(35)	YES		NULL	
Authorized Official First Name	varchar(20)	YES		NULL	
Authorized Official Middle Name	varchar(20)	YES		NULL	
Authorized Official Title or Position	varchar(35)	YES		NULL	
Authorized Official Name Prefix Text	varchar(200)	YES		NULL	
Authorized Official Name Suffix Text	varchar(200)	YES		NULL	
Authorized Official Credential Text	varchar(200)	YES		NULL	
Authorized Official Telephone Number	varchar(20)	YES		NULL	
Healthcare Provider Taxonomy Code_1	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_1	varchar(200)	YES		NULL	
Provider License Number_1	varchar(20)	YES		NULL	
Provider License Number State Code_1	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_1	char(1)	YES		NULL	
Healthcare Provider Taxonomy Code_2	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_2	varchar(200)	YES		NULL	
Provider License Number_2	varchar(20)	YES		NULL	
Provider License Number State Code_2	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_2	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_3	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_3	varchar(200)	YES		NULL	
Provider License Number_3	varchar(20)	YES		NULL	
Provider License Number State Code_3	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_3	char(1)	YES		NULL	
Healthcare Provider Taxonomy Code_4	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_4	varchar(200)	YES		NULL	
Provider License Number_4	varchar(20)	YES		NULL	
Provider License Number State Code_4	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_4	char(1)	YES		NULL	
Healthcare Provider Taxonomy Code_5	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_5	varchar(200)	YES		NULL	
Provider License Number_5	varchar(20)	YES		NULL	
Provider License Number State Code_5	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_5	char(1)	YES		NULL	
Healthcare Provider Taxonomy Code_6	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_6	varchar(200)	YES		NULL	
Provider License Number_6	varchar(20)	YES		NULL	
Provider License Number State Code_6	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_6	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_7	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_7	varchar(200)	YES		NULL	
Provider License Number_7	varchar(20)	YES		NULL	
